anio	trimestre	aglomerado_origen	localidad_destino	viajantes
2014	4	Concordia	Posadas (Municipio de Posadas)	281
2014	4	Concordia	Puerto Iguazú	282
2014	4	Concordia	Puerto Yeruá	556
2014	4	Concordia	Salto Grande	1248
2014	4	Concordia	San Pedro	1955
2014	4	Paraná	Aldea Valle María	7250
2014	4	Paraná	Belén de Escobar	272
2014	4	Paraná	Carreras	903
2014	4	Paraná	Cerrito	542
2014	4	Paraná	Ciudad de Buenos Aires	3027
2014	4	Paraná	Colón	542
2014	4	Paraná	Concepción del Uruguay	4988
2014	4	Paraná	Córdoba	4376
2014	4	Paraná	Diamante	4096
2014	4	Paraná	Federación	408
2014	4	Paraná	Gualeguay	746
2014	4	Paraná	Gualeguaychú	2494
2014	4	Paraná	Hasenkamp	588
2014	4	Paraná	Hernandarias	1338
2014	4	Paraná	Islas	5550
2014	4	Paraná	La Paz	13602
2014	4	Paraná	La Picada	13776
2014	4	Paraná	La Rioja	542
2014	4	Paraná	Maciá	5814
2014	4	Paraná	María Grande	568
2014	4	Paraná	Mendoza, Ciudad de	2814
2014	4	Paraná	Mina Clavero	2318
2014	4	Paraná	Paraná	588
2014	4	Paraná	Posadas (Municipio de Posadas)	409
2014	4	Paraná	Puerto Iguazú	542
2014	4	Paraná	Rosario	3722
2014	4	Paraná	Salta	272
2014	4	Paraná	San Francisco	550
2014	4	Paraná	San José de Feliciano	840
2014	4	Paraná	Santa Fe	10504
2014	4	Paraná	Viale	5784
2014	4	Paraná	Victoria	844
2014	4	Paraná	Villa Carlos Paz	813
2014	4	Paraná	Villa Urquiza	1656
2014	4	Paraná	Villaguay	1128
2015	1	Concordia	Basavilbaso	10288
2015	1	Concordia	Bragado	2073
2015	1	Concordia	Chajarí	20276
2015	1	Concordia	Ciudad de Buenos Aires	632
2015	1	Concordia	Colonia Ayuí	1668
2015	1	Concordia	Colón	1966
2015	1	Concordia	Concepción del Uruguay	15432
2015	1	Concordia	Federación	21704
2015	1	Concordia	Guaymallén	15849
2015	1	Concordia	Larroque	2232
2015	1	Concordia	Los Charrúas	15432
2015	1	Concordia	Mar del Plata	278
2015	1	Concordia	Nueva Escocia	13764
2015	1	Concordia	Paraná	12629
2015	1	Concordia	Puerto Iguazú	837
2015	1	Concordia	Rosario	7464
2015	1	Concordia	San Antonio de Areco	560
2015	1	Concordia	San Bernardo	3259
2015	1	Concordia	Santa Ana	2952
2015	1	Concordia	Santa Fe	1574
2015	1	Concordia	Santa Teresita	844
2015	1	Concordia	Villa Carlos Paz	800
2015	1	Paraná	Aldea Valle María	24740
2015	1	Paraná	Cariló	570
2015	1	Paraná	Carreras	1068
2015	1	Paraná	Chajarí	572
2015	1	Paraná	Ciudad de Buenos Aires	4880
2015	1	Paraná	Colón	7025
2015	1	Paraná	Concordia	9249
2015	1	Paraná	Córdoba	1280
2015	1	Paraná	Formosa	570
2015	1	Paraná	Gualeguaychú	276
2015	1	Paraná	La Caldera	5126
2015	1	Paraná	La Paz	22365
2015	1	Paraná	La Picada	22724
2015	1	Paraná	Maciá	1700
2015	1	Paraná	Mar del Plata	271
2015	1	Paraná	Oro Verde	550
2015	1	Paraná	Paraná	4480
2015	1	Paraná	Paso de la Laguna	550
2015	1	Paraná	Salta	7685
2015	1	Paraná	San José	570
2015	1	Paraná	San José de Feliciano	337
2015	1	Paraná	Santa Clara del Mar	1140
2015	1	Paraná	Santa Fe	22864
2015	1	Paraná	Santa Teresita	825
2015	1	Paraná	Sierras	570
2015	1	Paraná	Tigre	550
2015	1	Paraná	Villa Carlos Paz	840
2015	1	Paraná	Villa Elisa	951
2015	1	Paraná	Villa Gesell	552
2015	1	Paraná	Villa Urquiza	39361
2015	2	Concordia	Colonia Ayuí	1776
2015	2	Concordia	Colón	13305
2015	2	Concordia	Concepción del Uruguay	7627
2015	2	Concordia	Córdoba	278
2015	2	Concordia	Federación	17718
2015	2	Concordia	Posadas (Municipio de Posadas)	508
2015	2	Concordia	Salto Grande	2604
2015	2	Concordia	San Salvador	1598
2015	2	Concordia	Tartagal	1080
2015	2	Paraná	Campana	552
2015	2	Paraná	Cayastá	3512
2015	2	Paraná	Cerrito	518
2015	2	Paraná	Ciudad de Buenos Aires	5804
2015	2	Paraná	Colonia Avigdor	542
2015	2	Paraná	Concepción del Uruguay	802
2015	2	Paraná	Córdoba	5729
2015	2	Paraná	Diamante	303
2015	2	Paraná	General Alvear	792
2015	2	Paraná	Gualeguay	1078
2015	2	Paraná	Hernandarias	39380
2015	2	Paraná	Las Leñas	518
2015	2	Paraná	Libertador San Martín	1066
2015	2	Paraná	Mar del Plata	1901
2015	2	Paraná	María Grande	2487
2015	2	Paraná	Posadas (Municipio de Posadas)	259
2015	2	Paraná	Rosario	275
2015	2	Paraná	Rosario de la Frontera	526
2015	2	Paraná	San Genaro	789
2015	2	Paraná	San Marcial	1042
2015	2	Paraná	San Miguel	271
2015	2	Paraná	San Salvador de Jujuy	566
2015	2	Paraná	Santa Fe	6181
2015	2	Paraná	Santo Tomé	3512
