anio	trimestre	aglomerado_origen	localidad_destino	viajantes	geometry
2013	2	Paraná	Rosario	3748	c(-60.6615415, -32.9595004)
2013	2	Paraná	Rosario del Tala	1679	c(-59.138887, -32.3008178)
2013	2	Paraná	Río Gallegos	634	c(-69.2632288545264, -51.64607595)
2013	2	Paraná	San Salvador de Jujuy	7954	c(-65.2994789, -24.1852569)
2013	2	Paraná	Santa Fe	21834	c(-60.7019561, -31.6186951)
2013	2	Paraná	Santa María de Punilla	584	c(-64.4643492, -31.2780311)
2013	2	Paraná	Santiago del Estero	314	c(-64.2595062, -27.7877148)
2013	2	Paraná	Santo Tomé	5792	c(-60.7618282, -31.6630458)
2013	2	Paraná	Tigre	558	c(-58.5808967, -34.4226513)
2013	2	Paraná	Uspallata	794	c(-69.3465546, -32.5908062)
2013	2	Paraná	Viale	290	c(-60.0132357, -31.8721601)
2013	2	Paraná	Victoria	11844	c(-60.1576895, -32.6217981)
2013	2	Paraná	Victoria	11844	c(-58.5407091, -34.4541012)
2013	2	Paraná	Villa Cura Brochero	292	c(-65.0183328, -31.7062406)
2013	2	Paraná	Villa Urquiza	14289	c(-60.3770589, -31.6494738)
2013	3	Concordia	Alta Gracia	287	c(-64.4338499, -31.6579113)
2013	3	Concordia	Apóstoles	11583	c(-55.7554395219988, -27.9159113)
2013	3	Concordia	Bahía Blanca	868	c(-62.2654871, -38.7176522)
2013	3	Concordia	Chajarí	31050	c(-57.9848989, -30.7565741)
2013	3	Concordia	Ciudad de Buenos Aires	35102	c(-58.4370894, -34.6075682)
2013	3	Concordia	Colón	13834	c(-58.1356171, -32.2182804)
2013	3	Concordia	Curuzú Cuatiá	316	c(-58.0498307, -29.7913375)
2013	3	Concordia	Federación	39791	c(-57.9194395, -30.9856574)
2013	3	Concordia	Gualeguaychú	289	c(-58.5103466, -33.0078585)
2013	3	Concordia	La Plata	288	c(-57.9537638, -34.9206797)
2013	3	Concordia	Merlo	287	c(-65.0136903, -32.342558)
2013	3	Concordia	Merlo	287	c(-58.7321695, -34.6604988)
2013	3	Concordia	Moreno	632	c(-58.7898326, -34.6396556)
2013	3	Concordia	Puerto Madryn	4306	c(-65.0366104, -42.7729674)
2013	3	Concordia	Salta	1023	c(-65.4103194, -24.7892946)
2013	3	Concordia	Santa Fe	576	c(-60.7019561, -31.6186951)
2013	3	Concordia	Simoca	385	c(-65.356616949214, -27.262655)
2013	3	Concordia	Villaguay	5185	c(-59.0270174, -31.8676271)
2013	3	Concordia	Wilde	372	c(-58.314592, -34.6984264)
2013	3	Paraná	Aldea María Luisa	15655	c(-60.4095672, -31.8840955)
2013	3	Paraná	Bialet Massé	848	c(-64.4638871, -31.3139087)
2013	3	Paraná	Ciudad de Buenos Aires	16285	c(-58.4370894, -34.6075682)
2013	3	Paraná	Colonia Avellaneda	4384	c(-60.412117, -31.7636914)
2013	3	Paraná	Colón	20198	c(-58.1356171, -32.2182804)
2013	3	Paraná	Crespo	1562	c(-60.3062469, -32.0307826)
2013	3	Paraná	Diamante	7490	c(-60.6426494, -32.0670391)
2013	3	Paraná	Esperanza	1554	c(-60.9304048, -31.448994)
2013	3	Paraná	Federación	3648	c(-57.9194395, -30.9856574)
2013	3	Paraná	General Galarza	2808	c(-59.3957742661545, -32.7214435)
2013	3	Paraná	Gobernador Crespo	4212	c(-60.4004174, -30.3628997)
2013	3	Paraná	Gualeguay	2508	c(-59.3106789, -33.1504259)
2013	3	Paraná	Gualeguaychú	825	c(-58.5103466, -33.0078585)
2013	3	Paraná	Hernandarias	21774	c(-59.9882684, -31.2300739)
2013	3	Paraná	La Falda	536	c(-64.4829365, -31.0946192)
2013	3	Paraná	La Picada	548	c(-60.2966741, -31.7256604)
2013	3	Paraná	María Grande	1072	c(-59.9021724, -31.6647722)
2013	3	Paraná	Mendoza, Ciudad de	615	c(-68.8446177, -32.8894155)
2013	3	Paraná	Merlo	552	c(-65.0136903, -32.342558)
2013	3	Paraná	Merlo	552	c(-58.7321695, -34.6604988)
2013	3	Paraná	Nogoyá	6346	c(-59.787777, -32.3985574)
2013	3	Paraná	Paraná	21673	c(-60.5298511, -31.7330145)
2013	3	Paraná	Paraná	21673	c(-60.5298511, -31.7330145)
2013	3	Paraná	Piedras Blancas	552	c(-59.9011493185457, -31.1908228)
2013	3	Paraná	Rosario	18415	c(-60.6615415, -32.9595004)
2013	3	Paraná	San Carlos de Bariloche	846	c(-71.3098425, -41.1334421)
2013	3	Paraná	San Salvador de Jujuy	552	c(-65.2994789, -24.1852569)
2013	3	Paraná	Santa Fe	46300	c(-60.7019561, -31.6186951)
2013	3	Paraná	Sauce de Luna	278	c(-59.2198137221078, -31.23588675)
2013	3	Paraná	Viale	1442	c(-60.0132357, -31.8721601)
2013	3	Paraná	Victoria	3272	c(-60.1576895, -32.6217981)
2013	3	Paraná	Victoria	3272	c(-58.5407091, -34.4541012)
2013	3	Paraná	Villa Carlos Paz	275	c(-64.4936985, -31.4183774)
2013	3	Paraná	Villa Urquiza	20655	c(-60.3770589, -31.6494738)
2013	4	Concordia	Cañada Honda	365	c(-68.5484539, -31.9849658)
2013	4	Concordia	Chajarí	54336	c(-57.9848989, -30.7565741)
2013	4	Concordia	Ciudad de Buenos Aires	8282	c(-58.4370894, -34.6075682)
2013	4	Concordia	Colón	12382	c(-58.1356171, -32.2182804)
2013	4	Concordia	Federación	12382	c(-57.9194395, -30.9856574)
2013	4	Concordia	Mar del Plata	4688	c(-57.5482703, -37.9977225)
2013	4	Concordia	Rosario	556	c(-60.6615415, -32.9595004)
2013	4	Concordia	San Jaime de la Frontera	10580	c(-58.3070069, -30.3403336)
2013	4	Concordia	San Salvador	13590	c(-58.5051869, -31.6247717)
2013	4	Concordia	Santa Fe	5646	c(-60.7019561, -31.6186951)
2013	4	Concordia	Santa Rosa de Calamuchita	311	c(-64.5396135, -32.0644855)
